company,Year,Есть ли RAEX/RSPP/NKR рейтинг у компании?,Источник
илим,24,FALSE,Новости
ингосстрах в спб,20,TRUE,Новости
ингосстрах в спб,21,TRUE,Новости
ингосстрах в спб,22,TRUE,Новости
ингосстрах в спб,23,TRUE,Новости
ингосстрах в спб,24,TRUE,Новости
инициатива,23,TRUE,Новости
инициатива,24,TRUE,Новости
интер рао,16,TRUE,Новости
интер рао,17,TRUE,Новости
интер рао,18,TRUE,Новости
интер рао,19,TRUE,Новости
интер рао,20,FALSE,Новости
интер рао еэс,20,TRUE,Новости
калининградский_янтарный_комбинат,20,TRUE,Новости
калининградский_янтарный_комбинат,21,TRUE,Новости
калининградский_янтарный_комбинат,22,TRUE,Новости
камаз,17,TRUE,Новости
каравай,20,TRUE,Новости
каравай,21,TRUE,Новости
каравай,22,TRUE,Новости
каравай,23,TRUE,Новости
каравай,24,TRUE,Новости
карелия палп,20,TRUE,Новости
карелия палп,21,TRUE,Новости
карелия палп,22,FALSE,Новости
карелия палп,23,FALSE,Новости
карелия палп,24,FALSE,Новости
катайский насосный завод,20,TRUE,Новости
катайский насосный завод,21,TRUE,Новости
катайский насосный завод,22,TRUE,Новости
катайский насосный завод,23,TRUE,Новости
катайский насосный завод,24,TRUE,Новости
киви,21,TRUE,Новости
кировский завод,20,TRUE,Новости
кировский завод,21,TRUE,Новости
кировский завод,22,TRUE,Новости
кировский завод,23,TRUE,Новости
кировский завод,24,TRUE,Новости
ключавто,20,TRUE,Новости
ключавто,21,TRUE,Новости
ключавто,22,TRUE,Новости
ключавто,23,TRUE,Новости
ключавто,24,TRUE,Новости
коммерческая_недвижимость_фпк_гарант_инвест,20,TRUE,Новости
коммерческая_недвижимость_фпк_гарант_инвест,21,TRUE,Новости
компаний акиг,20,TRUE,Новости
компаний петропавловск,16,TRUE,Новости
компания ey,20,TRUE,Новости
компания путина,20,TRUE,Новости
компания путина,21,TRUE,Новости
компания путина,22,TRUE,Новости
компания путина,23,TRUE,Новости
компания путина,24,TRUE,Новости
компания усть-луга,20,TRUE,Новости
компания усть-луга,21,TRUE,Новости
компания усть-луга,22,TRUE,Новости
компания усть-луга,23,TRUE,Новости
компания усть-луга,24,TRUE,Новости
комфортел,20,TRUE,Новости
комфортел,21,TRUE,Новости
комфортел,22,TRUE,Новости
комфортел,23,TRUE,Новости
комфортел,24,TRUE,Новости
кондопожский цбк,20,TRUE,Новости
кондопожский цбк,21,TRUE,Новости
кондопожский цбк,22,TRUE,Новости
кондопожский цбк,23,TRUE,Новости
кондопожский цбк,24,TRUE,Новости
концерн росэнергоатом ленинградская атомная станция,20,TRUE,Новости
концерн росэнергоатом ленинградская атомная станция,21,TRUE,Новости
концерн росэнергоатом ленинградская атомная станция,22,TRUE,Новости
концерн росэнергоатом ленинградская атомная станция,23,TRUE,Новости
концерн росэнергоатом ленинградская атомная станция,24,TRUE,Новости
корпорация морского приборостроения,20,TRUE,Новости
корпорация морского приборостроения,21,TRUE,Новости
корпорация морского приборостроения,22,TRUE,Новости
корпорация морского приборостроения,23,TRUE,Новости
корпорация морского приборостроения,24,TRUE,Новости
красноярский завод цветных металлов имени в.н. гулидова,20,TRUE,Новости
красноярский завод цветных металлов имени в.н. гулидова,21,TRUE,Новости
кф нева,20,TRUE,Новости
кф нева,21,TRUE,Новости
кф нева,22,TRUE,Новости
кф нева,23,TRUE,Новости
кф нева,24,TRUE,Новости
л1,20,TRUE,Новости
л1,21,TRUE,Новости
л1,22,TRUE,Новости
л1,23,TRUE,Новости
л1,24,TRUE,Новости
ланпринт,20,TRUE,Новости
ланпринт,22,TRUE,Новости
ланпринт,23,TRUE,Новости
ланпринт,24,TRUE,Новости
лахта клиника,20,TRUE,Новости
лахта клиника,21,TRUE,Новости
лахта клиника,22,TRUE,Новости
лахта клиника,23,TRUE,Новости
лахта клиника,24,TRUE,Новости
легенда,20,TRUE,Новости
легенда,21,TRUE,Новости
легенда,22,TRUE,Новости
легенда,23,TRUE,Новости
легенда,24,TRUE,Новости
ленсвет,20,TRUE,Новости
ленсвет,21,TRUE,Новости
ленсвет,22,TRUE,Новости
ленсвет,23,TRUE,Новости
ленсвет,24,TRUE,Новости
ленстройтрест,20,TRUE,Новости
ленстройтрест,21,TRUE,Новости
ленстройтрест,22,TRUE,Новости
ленстройтрест,23,TRUE,Новости
ленстройтрест,24,TRUE,Новости
лоэск,20,TRUE,Новости
лоэск,21,TRUE,Новости
лоэск,22,TRUE,Новости
лоэск,23,TRUE,Новости
лоэск,24,TRUE,Новости
